req_id,spec_section,spec_lines,normative_text_summary,normative_keyword,representable_in_bootstrap_schema,schema_group,schema_lines,coverage_status,evidence,severity,notes,encodability_tier
REQ-0001,Codex Language Specification — Version 1.0.0 > 6. Identity > 6.2 Entity Identity > 6.2.1 The `id` Trait,1915,"Every Entity MUST have exactly one `id` trait. If an Entity lacks an `id` trait, Codex-conforming tools MUST reject that document with an `IdentityError` (§14).",MUST,yes,Schema,18352-19489,covered,spec line 1915; schema group Schema,P2,Entity id requirement covered: Schema shape has codex:isEntity=true and codex:declaredId minCount=1.,graph
REQ-0002,Codex Language Specification — Version 1.0.0 > 6. Identity > 6.2 Entity Identity > 6.2.1 The `id` Trait,1917,"Every non-Entity MUST NOT have an `id` trait. If a non-Entity declares an `id` trait, Codex-conforming tools MUST reject that document with an `IdentityError` (§14).",MUST NOT,yes,Schema,18352-19489,covered,spec line 1917; schema group Schema,P2,Non-entity id prohibition now consistent: codex:isEntity=true matches required codex:declaredId.,graph
REQ-0003,Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.5 Simplified Authoring Mode (Codex-Native Schema Authoring Surface),2730,"To support a total, deterministic projection to derived validation artifacts, simplified-mode schema authoring MUST support the following extensions.",MUST,partial,Schema,18352-19489,partial,spec line 2730; schema group Schema,P3,Requirement is partly outside declarative shape constraints and needs runtime semantics.,runtime
REQ-0004,Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.5 Simplified Authoring Mode (Codex-Native Schema Authoring Surface) > 9.5.1 Pattern Flags,2734,The following atomic constraints MUST support an optional `flags` trait whose value is text:,MUST,yes,Schema,18352-19489,covered,spec line 2734; schema group Schema,P3,Constraint appears in corresponding schema group.,graph
REQ-0005,Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.5 Simplified Authoring Mode (Codex-Native Schema Authoring Surface) > 9.5.1 Pattern Flags,2740,"If `flags` is omitted, it MUST be treated as empty text.",MUST,partial,Schema,18352-19489,partial,spec line 2740; schema group Schema,P3,Requirement is partly outside declarative shape constraints and needs runtime semantics.,runtime
REQ-0006,Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.5 Simplified Authoring Mode (Codex-Native Schema Authoring Surface) > 9.5.1 Pattern Flags,2742,The `pattern` and `flags` semantics MUST be SPARQL 1.1 `REGEX` semantics.,MUST,partial,Schema,18352-19489,partial,spec line 2742; schema group Schema,P3,Requirement is partly outside declarative shape constraints and needs runtime semantics.,runtime
REQ-0007,Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.5 Simplified Authoring Mode (Codex-Native Schema Authoring Surface) > 9.5.2 Explicit Validator Definitions,2746,Simplified Authoring Mode MUST support explicit validator definitions that make `ValueIsValid` deterministic.,MUST,partial,ValueIsValid,25221-25424,partial,spec line 2746; schema group ValueIsValid,P3,Requirement is partly outside declarative shape constraints and needs runtime semantics.,runtime
REQ-0008,Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.5 Simplified Authoring Mode (Codex-Native Schema Authoring Surface) > 9.5.2 Explicit Validator Definitions,2754,Each `ValidatorDefinition` MUST have these traits:,MUST,yes,ValidatorDefinition,24000-24303,covered,spec line 2754; schema group ValidatorDefinition,P3,Constraint appears in corresponding schema group.,graph
REQ-0009,Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.5 Simplified Authoring Mode (Codex-Native Schema Authoring Surface) > 9.5.2 Explicit Validator Definitions,2760,`ValidatorDefinition` names MUST be unique within the Schema.,MUST,yes,ValidatorDefinition,24000-24303,covered,spec line 2760; schema group ValidatorDefinition,P3,ValidatorDefinition name uniqueness enforced via SPARQL constraint scoped to Schema level.,graph
REQ-0010,Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.5 Simplified Authoring Mode (Codex-Native Schema Authoring Surface) > 9.5.2 Explicit Validator Definitions,2762,Each `ValidatorDefinition` MUST be in content mode.,MUST,partial,ValidatorDefinition,24000-24303,partial,spec line 2762; schema group ValidatorDefinition,P3,Requirement is partly outside declarative shape constraints and needs runtime semantics.,runtime
REQ-0011,Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.5 Simplified Authoring Mode (Codex-Native Schema Authoring Surface) > 9.5.2 Explicit Validator Definitions,2764,The content of `ValidatorDefinition` MUST be a SPARQL `SELECT` query text.,MUST,partial,ValidatorDefinition,24000-24303,partial,spec line 2764; schema group ValidatorDefinition,P3,Requirement is partly outside declarative shape constraints and needs runtime semantics.,runtime
REQ-0012,Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.5 Simplified Authoring Mode (Codex-Native Schema Authoring Surface) > 9.5.2 Explicit Validator Definitions,2766,The `SELECT` results MUST follow the SHACL-SPARQL convention (returning one row per violation with `?this` bound to the focus node).,MUST,partial,Schema,18352-19489,partial,spec line 2766; schema group Schema,P3,Requirement is partly outside declarative shape constraints and needs runtime semantics.,runtime
REQ-0013,Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.5 Simplified Authoring Mode (Codex-Native Schema Authoring Surface) > 9.5.2 Explicit Validator Definitions,2768,"If a derived validation artifact is expressed using SHACL-SPARQL, the embedding contract for `ValueIsValid validatorName=$X` MUST be:",MUST,partial,ValueIsValid,25221-25424,partial,spec line 2768; schema group ValueIsValid,P3,Requirement is partly outside declarative shape constraints and needs runtime semantics.,runtime
REQ-0014,Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.5 Simplified Authoring Mode (Codex-Native Schema Authoring Surface) > 9.5.2 Explicit Validator Definitions,2773,"If `$X` cannot be resolved to exactly one `ValidatorDefinition`, schema processing MUST fail with a `SchemaError` (§14).",MUST,yes,ValidatorDefinition,24000-24303,covered,spec line 2773; schema group ValidatorDefinition,P3,Constraint appears in corresponding schema group.,graph
REQ-0015,Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.5 Simplified Authoring Mode (Codex-Native Schema Authoring Surface) > 9.5.3 Explicit Path and Quantifier Rule Forms,2779,"To produce a total, deterministic mapping, Simplified Authoring Mode MUST provide explicit rule-node forms that bind exactly one path to exactly one nested rule.",MUST,yes,Rule,16125-18351,covered,spec line 2779; schema group Rule,P3,Constraint appears in corresponding schema group.,graph
REQ-0016,Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.5 Simplified Authoring Mode (Codex-Native Schema Authoring Surface) > 9.5.3 Explicit Path and Quantifier Rule Forms,2781,Simplified Authoring Mode MUST provide the following rule nodes:,MUST,partial,Rule,16125-18351,partial,spec line 2781; schema group Rule,P3,Requirement is partly outside declarative shape constraints and needs runtime semantics.,runtime
REQ-0017,Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.5 Simplified Authoring Mode (Codex-Native Schema Authoring Surface) > 9.5.3 Explicit Path and Quantifier Rule Forms,2787,Each of these MUST have exactly one `Path` child and exactly one `Rule` child.,MUST,yes,Rule,16125-18351,covered,spec line 2787; schema group Rule,P3,Constraint appears in corresponding schema group.,graph
REQ-0018,Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.5 Simplified Authoring Mode (Codex-Native Schema Authoring Surface) > 9.5.3 Explicit Path and Quantifier Rule Forms,2789,`OnPathCount` MUST additionally have:,MUST,partial,OnPathCount,11794-12411,partial,spec line 2789; schema group OnPathCount,P3,Requirement is partly outside declarative shape constraints and needs runtime semantics.,runtime
REQ-0019,Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.5 Simplified Authoring Mode (Codex-Native Schema Authoring Surface) > 9.5.3 Explicit Path and Quantifier Rule Forms,2794,The `Path` child MUST be exactly one of:,MUST,yes,Rule,16125-18351,covered,spec line 2794; schema group Rule,P3,Constraint appears in corresponding schema group.,graph
REQ-0020,Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.5 Simplified Authoring Mode (Codex-Native Schema Authoring Surface) > 9.5.3 Explicit Path and Quantifier Rule Forms,2801,"`ChildSatisfies(conceptSelector=X, Rule=R)` MUST be interpreted as equivalent to `OnPathForAll(Path=ChildPath(X), Rule=R)`.",MUST,partial,ChildPath,1763-1972,partial,spec line 2801; schema group ChildPath,P3,Requirement is partly outside declarative shape constraints and needs runtime semantics.,runtime
REQ-0021,Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.5 Simplified Authoring Mode (Codex-Native Schema Authoring Surface) > 9.5.4 Collection and Order Constraint Scoping,2814,the constraint node MUST have exactly one `Path` child that selects the collection members the constraint applies to.,MUST,yes,Schema,18352-19489,covered,spec line 2814; schema group Schema,P3,Constraint appears in corresponding schema group.,graph
REQ-0022,Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.5 Simplified Authoring Mode (Codex-Native Schema Authoring Surface) > 9.5.4 Collection and Order Constraint Scoping,2816,That member-selection path MUST be either `ChildPath` or `DescendantPath`.,MUST,partial,ChildPath,1763-1972,partial,spec line 2816; schema group ChildPath,P3,Requirement is partly outside declarative shape constraints and needs runtime semantics.,runtime
REQ-0023,Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.5 Simplified Authoring Mode (Codex-Native Schema Authoring Surface) > 9.5.4 Collection and Order Constraint Scoping,2818,"If the member-selection path is not one of these, expansion MUST fail with a `SchemaError` (§14).",MUST,partial,Schema,18352-19489,partial,spec line 2818; schema group Schema,P3,Requirement is partly outside declarative shape constraints and needs runtime semantics.,runtime
REQ-0024,Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.5 Simplified Authoring Mode (Codex-Native Schema Authoring Surface) > 9.5.4 Collection and Order Constraint Scoping,2820,"For `CollectionAllowsDuplicates` with `allowed=false`, the constraint node MUST include a required `keyTrait` trait whose value is a Trait name.",MUST,yes,CollectionAllowsDuplicates,2667-3129,covered,spec line 2820; schema group CollectionAllowsDuplicates,P3,Constraint appears in corresponding schema group.,graph
REQ-0025,Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.5 Simplified Authoring Mode (Codex-Native Schema Authoring Surface) > 9.5.4 Collection and Order Constraint Scoping,2822,"If `keyTrait` is `id`, it MUST refer to the declared identifier as specified by the instance-graph identity rules.",MUST,yes,Schema,18352-19489,covered,spec line 2822; schema group Schema,P3,Constraint appears in corresponding schema group.,graph
REQ-0026,Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.7 Codex→RDF Instance Graph Mapping > 9.7.3 Entity Marker,3021,"If and only if a Concept instance is an Entity, the mapped RDF node MUST be marked as an Entity using a dedicated predicate `codex:isEntity`.",MUST,yes,Schema,18352-19489,covered,spec line 3021; schema group Schema,P2,isEntity predicate now correctly set to true on Schema shape; matches entity status.,graph
REQ-0027,Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.7 Codex→RDF Instance Graph Mapping > 9.7.8 Traits and Value Terms,3146,"- Instead, `id` MUST be represented only by `codex:declaredId`, with the `id` value as an IRI (not a literal).",MUST,yes,Schema,18352-19489,covered,spec line 3146; schema group Schema,P2,Schema root shape correctly uses codex:declaredId as IRI.,graph
REQ-0028,Codex Language Specification — Version 1.0.0 > 11. Schema Definition Language > 11.1 Core Principles,4152,"* Schema semantics MUST be **closed-world**, **deterministic**, and **free of heuristics**.",MUST,partial,Schema,18352-19489,partial,spec line 4152; schema group Schema,P3,Requirement is partly outside declarative shape constraints and needs runtime semantics.,runtime
REQ-0029,Codex Language Specification — Version 1.0.0 > 11. Schema Definition Language > 11.1 Core Principles,4154,"Schema validation, schema expansion, and derived-artifact generation MUST satisfy the schema-first requirements defined in §9.",MUST,partial,Schema,18352-19489,partial,spec line 4154; schema group Schema,P3,Requirement is partly outside declarative shape constraints and needs runtime semantics.,runtime
REQ-0030,Codex Language Specification — Version 1.0.0 > 11. Schema Definition Language > 11.2 Schema > Traits,4163,A `Schema` Concept MUST declare the following Traits:,MUST,yes,Schema,18352-19489,covered,spec line 4163; schema group Schema,P2,Schema trait set fully covered: id/entity consistency resolved by codex:isEntity=true fix.,graph
REQ-0031,Codex Language Specification — Version 1.0.0 > 11. Schema Definition Language > 11.2 Schema > Traits,4190,"The canonical namespace label for this schema. The value MUST be a camelCase name (§4.1). This label is used by importing documents to construct qualified names (§4.1.1) that reference Concept and Trait definitions from this schema. Each schema's `namespace` value MUST be unique among all schemas loaded together (governing schema plus imported schemas); if two schemas declare the same `namespace` value, processing MUST fail with a `SchemaError` (§14).",MUST,yes,Schema,18352-19489,covered,spec line 4190; schema group Schema,P2,Schema.namespace enforced as camelCase via sh:pattern; cross-schema uniqueness remains runtime.,runtime
REQ-0032,Codex Language Specification — Version 1.0.0 > 11. Schema Definition Language > 11.2 Schema > Children,4199,A `Schema` MUST satisfy the mode-conditional child-Concept rules defined in §9.4.,MUST,partial,Schema,18352-19489,partial,spec line 4199; schema group Schema,P3,Requirement is partly outside declarative shape constraints and needs runtime semantics.,runtime
REQ-0033,Codex Language Specification — Version 1.0.0 > 11. Schema Definition Language > 11.2 Schema > Children,4203,* A `Schema` MUST contain exactly one `ConceptDefinitions` child Concept.,MUST,yes,Schema,18352-19489,covered,spec line 4203; schema group Schema,P2,Enforced via Schema xone simplified-mode subshape (ConceptDefinitions min=1).,graph
REQ-0034,Codex Language Specification — Version 1.0.0 > 11. Schema Definition Language > 11.2 Schema > Children,4213,* A `Schema` MUST NOT contain `RdfGraph`.,MUST NOT,yes,Schema,18352-19489,covered,spec line 4213; schema group Schema,P2,Enforced via Schema xone simplified-mode subshape (RdfGraph max=0).,graph
REQ-0035,Codex Language Specification — Version 1.0.0 > 11. Schema Definition Language > 11.2 Schema > Children,4217,* A `Schema` MUST contain exactly one `RdfGraph` child Concept.,MUST,yes,Schema,18352-19489,covered,spec line 4217; schema group Schema,P2,Enforced via Schema xone canonical-mode subshape (RdfGraph min=1).,graph
REQ-0036,Codex Language Specification — Version 1.0.0 > 11. Schema Definition Language > 11.2 Schema > Children,4218,* A `Schema` MUST NOT contain any of the following child Concepts:,MUST NOT,yes,Schema,18352-19489,covered,spec line 4218; schema group Schema,P2,Enforced via Schema xone canonical-mode subshape (non-canonical children max=0).,graph
REQ-0037,Codex Language Specification — Version 1.0.0 > 11. Schema Definition Language > 11.2 Schema > Children,4227,* A `Schema` in `$CanonicalMode` is allowed to contain a `SchemaImports` child Concept. The parser MUST merge imported SHACL shapes at the RDF level.,MUST,partial,Schema,18352-19489,partial,spec line 4227; schema group Schema,P3,Requirement is partly outside declarative shape constraints and needs runtime semantics.,runtime
REQ-0038,Codex Language Specification — Version 1.0.0 > 11. Schema Definition Language > 11.2 Schema > Semantic Requirements,4233,* Any schema whose structure or semantics cannot be interpreted deterministically under this specification MUST be rejected with a `SchemaError` (§14).,MUST,partial,Schema,18352-19489,partial,spec line 4233; schema group Schema,P3,Requirement is partly outside declarative shape constraints and needs runtime semantics.,runtime
REQ-0039,Codex Language Specification — Version 1.0.0 > 11. Schema Definition Language > 11.2.1 Schema Imports > `SchemaImports`,4243,`SchemaImports` MUST only appear as a direct child of a root Concept.,MUST,yes,SchemaImports,19738-19940,covered,spec line 4243; schema group SchemaImports,P3,Constraint appears in corresponding schema group.,graph
REQ-0040,Codex Language Specification — Version 1.0.0 > 11. Schema Definition Language > 11.2.1 Schema Imports > `SchemaImports`,4245,A root Concept MUST NOT contain more than one `SchemaImports` child.,MUST NOT,yes,Schema,18352-19489,covered,spec line 4245; schema group Schema,P2,SchemaImports child constrained to max=1 in Schema root shape.,graph
REQ-0041,Codex Language Specification — Version 1.0.0 > 11. Schema Definition Language > 11.2.1 Schema Imports > `SchemaImports`,4247,"If `SchemaImports` appears on a non-root Concept, the document MUST be rejected with a `ParseError` (§14).",MUST,partial,SchemaImports,19738-19940,partial,spec line 4247; schema group SchemaImports,P3,Requirement is partly outside declarative shape constraints and needs runtime semantics.,runtime
REQ-0042,Codex Language Specification — Version 1.0.0 > 11. Schema Definition Language > 11.2.1 Schema Imports > `SchemaImports` > Canonical Ordering,4255,"Within a `SchemaImports` block, `SchemaImport` children MUST be sorted alphabetically by their canonical `namespace` value (lexicographic ascending) in canonical form.",MUST,partial,SchemaImports,19738-19940,partial,spec line 4255; schema group SchemaImports,P3,Ordering is canonicalization behavior; not encoded as graph constraint in schema.cdx.,runtime
REQ-0043,Codex Language Specification — Version 1.0.0 > 11. Schema Definition Language > 11.2.1 Schema Imports > `SchemaImport` > Traits,4263,The IRI of the imported schema. This MUST be the `Schema.id` of an imported schema provided via the `importedSchemas` input (§12.2). The value MUST be an IRI Reference Value.,MUST,yes,SchemaImport,19490-19737,covered,spec line 4263; schema group SchemaImport,P2,reference enforced as IRI node kind.,graph
REQ-0044,Codex Language Specification — Version 1.0.0 > 11. Schema Definition Language > 11.2.1 Schema Imports > `SchemaImport` > Traits,4267,"The namespace label used in qualified names (§4.1.1) to reference Concepts and Traits from this imported schema. The value MUST be a camelCase name (§4.1). In canonical form, this value MUST be normalized to the imported schema's declared `namespace` Trait value (§10.4).",MUST,yes,SchemaImport,19490-19737,covered,spec line 4267; schema group SchemaImport,P2,SchemaImport.namespace enforced as camelCase via sh:pattern; canonical normalization remains runtime.,runtime
REQ-0045,Codex Language Specification — Version 1.0.0 > 11. Schema Definition Language > 11.2.1 Schema Imports > `SchemaImport` > Semantic Requirements,4271,"* The `reference` IRI MUST appear as a key in the `importedSchemas` map provided to `validate()` (§12.2). If the IRI is not present in `importedSchemas`, processing MUST fail with a `SchemaError` (§14).",MUST,partial,Schema,18352-19489,partial,spec line 4271; schema group Schema,P3,Requirement is partly outside declarative shape constraints and needs runtime semantics.,runtime
REQ-0046,Codex Language Specification — Version 1.0.0 > 11. Schema Definition Language > 11.2.1 Schema Imports > `SchemaImport` > Semantic Requirements,4272,"* After namespace label normalization, all `SchemaImport` entries within a `SchemaImports` block MUST have distinct canonical `namespace` values. If two entries produce the same canonical namespace label, processing MUST fail with a `SchemaError` (§14).",MUST,yes,SchemaImport,19490-19737,covered,spec line 4272; schema group SchemaImport,P3,Constraint appears in corresponding schema group.,graph
REQ-0047,Codex Language Specification — Version 1.0.0 > 11. Schema Definition Language > 11.2.1 Schema Imports > `SchemaImport` > Semantic Requirements,4273,"* A qualified name using a namespace label MUST resolve to a Concept or Trait definition within the corresponding imported schema. If the qualified name references a Concept or Trait not defined in the imported schema, processing MUST fail with a `SchemaError` (§14).",MUST,yes,Schema,18352-19489,covered,spec line 4273; schema group Schema,P3,Constraint appears in corresponding schema group.,runtime
REQ-0048,Codex Language Specification — Version 1.0.0 > 11. Schema Definition Language > 11.2.1 Schema Imports > Governing Schema as Default Namespace,4279,Trait names on Concept instances in data documents MUST be unqualified. The Concept definition (from the governing schema or the imported schema that defines the Concept) determines which `TraitDefinition` each Trait name refers to.,MUST,yes,TraitDefinition,21253-21795,covered,spec line 4279; schema group TraitDefinition,P3,Constraint appears in corresponding schema group.,graph
REQ-0049,Codex Language Specification — Version 1.0.0 > 11. Schema Definition Language > 11.2.1 Schema Imports > Governing Schema as Default Namespace,4281,Enumerated Tokens (`$Value`) and Lookup Tokens (`~key`) MUST NOT be namespace-qualified. The Trait's constraint determines the `EnumeratedValueSet`; the document's resolution table (§9.8) resolves Lookup Tokens.,MUST NOT,yes,EnumeratedValueSet,8369-8689,covered,spec line 4281; schema group EnumeratedValueSet,P3,Constraint appears in corresponding schema group.,graph
REQ-0050,Codex Language Specification — Version 1.0.0 > 11. Schema Definition Language > 11.2.1 Schema Imports > Namespace Qualification in Schema Documents,4285,"In schema documents, references to Concepts and Traits from imported schemas in meta-language constructs (`RequiresTrait`, `AllowsTrait`, `AllowsChildConcept`, `RequiresChildConcept`, `ForbidsChildConcept`, `ForbidsTrait`, `conceptSelector`, etc.) MUST use qualified names (`namespace:name`). Local definitions MUST be unqualified.",MUST,yes,RequiresTrait,15891-16124,covered,spec line 4285; schema group RequiresTrait,P3,Constraint appears in corresponding schema group.,graph
REQ-0051,Codex Language Specification — Version 1.0.0 > 11. Schema Definition Language > 11.2.1 Schema Imports > Data Documents with Imports,4291,The `SchemaImports` in a data document MUST be consistent with the governing schema: any schema imported by the data document MUST also be imported by the governing schema (or be the governing schema itself).,MUST,partial,SchemaImport,19490-19737,partial,spec line 4291; schema group SchemaImport,P2,Consistency with governing schema imports requires external resolution context; not encoded directly.,runtime
REQ-0052,Codex Language Specification — Version 1.0.0 > 11. Schema Definition Language > 11.3 Concept Definitions > 11.3.2 `ContentRules` > Children > `AllowsContent`,4342,`whitespaceMode` MUST be one of:,MUST,yes,AllowsContent,808-1041,covered,spec line 4342; schema group AllowsContent,P3,Constraint appears in corresponding schema group.,graph
REQ-0053,Codex Language Specification — Version 1.0.0 > 11. Schema Definition Language > 11.3 Concept Definitions > 11.3.2 `ContentRules` > Children > `AllowsContent`,4344,* `$Preformatted` — content whitespace is significant and MUST be preserved exactly,MUST,partial,AllowsContent,808-1041,partial,spec line 4344; schema group AllowsContent,P3,Requirement is partly outside declarative shape constraints and needs runtime semantics.,runtime
REQ-0054,Codex Language Specification — Version 1.0.0 > 11. Schema Definition Language > 11.3 Concept Definitions > 11.3.2 `ContentRules` > Children > `AllowsContent`,4345,* `$Flow` — content whitespace is not significant; Codex-conforming tools MUST collapse runs of whitespace to single spaces and trim leading/trailing whitespace,MUST,partial,AllowsContent,808-1041,partial,spec line 4345; schema group AllowsContent,P3,Requirement is partly outside declarative shape constraints and needs runtime semantics.,runtime
REQ-0055,Codex Language Specification — Version 1.0.0 > 11. Schema Definition Language > 11.3 Concept Definitions > 11.3.3 `TraitRules` > Children > Concept-Level `AllowedValues` Narrowing,4398,"When `AllowedValues` appears as a child of `RequiresTrait` or `AllowsTrait`, it further narrows the `AllowedValues` declared on the referenced `TraitDefinition`. The concept-level allowed values MUST be a subset of the `TraitDefinition`-level allowed values. If both exist, the concept-level constraint governs.",MUST,yes,AllowedValues,214-515,covered,spec line 4398; schema group AllowedValues,P3,Constraint appears in corresponding schema group.,graph
REQ-0056,Codex Language Specification — Version 1.0.0 > 11. Schema Definition Language > 11.3 Concept Definitions > 11.3.4 `ChildRules` > Children > `ExactlyOneChildOf`,4447,Declares that exactly one of the listed Concept types MUST appear as a child of the governed instance.,MUST,yes,ChildRules,1973-2418,covered,spec line 4447; schema group ChildRules,P3,Constraint appears in corresponding schema group.,graph
REQ-0057,Codex Language Specification — Version 1.0.0 > 11. Schema Definition Language > 11.3 Concept Definitions > 11.3.5 `CollectionRules` > Form,4479,`CollectionRules` MUST be self-closing and MUST NOT have children.,MUST NOT,yes,CollectionRules,3834-4105,covered,spec line 4479; schema group CollectionRules,P2,No child property paths defined for CollectionRules (closed shape).,graph
REQ-0058,Codex Language Specification — Version 1.0.0 > 11. Schema Definition Language > 11.3 Concept Definitions > 11.3.5 `CollectionRules` > Applicability,4483,"When `CollectionRules` is present, child ordering and duplication semantics MUST be enforced as declared.",MUST,partial,CollectionRules,3834-4105,partial,spec line 4483; schema group CollectionRules,P3,Requirement is partly outside declarative shape constraints and needs runtime semantics.,runtime
REQ-0059,Codex Language Specification — Version 1.0.0 > 11. Schema Definition Language > 11.3 Concept Definitions > 11.3.5 `CollectionRules` > Ordering Semantics,4489,Ordering MUST be exactly one of:,MUST,yes,CollectionRules,3834-4105,covered,spec line 4489; schema group CollectionRules,P2,ordering trait constrained to $Ordered|$Unordered.,graph
REQ-0060,Codex Language Specification — Version 1.0.0 > 11. Schema Definition Language > 11.3 Concept Definitions > 11.3.5 `CollectionRules` > Ordering Semantics > `$Ordered`,4495,Source order MUST be preserved through all conforming processing.,MUST,partial,CollectionRules,3834-4105,partial,spec line 4495; schema group CollectionRules,P3,Requirement is partly outside declarative shape constraints and needs runtime semantics.,runtime
REQ-0061,Codex Language Specification — Version 1.0.0 > 11. Schema Definition Language > 11.3 Concept Definitions > 11.3.5 `CollectionRules` > Ordering Semantics > `$Ordered`,4497,Two `$Ordered` collections with identical children in different orders MUST be treated as semantically distinct.,MUST,yes,CollectionRules,3834-4105,covered,spec line 4497; schema group CollectionRules,P3,Constraint appears in corresponding schema group.,graph
REQ-0062,Codex Language Specification — Version 1.0.0 > 11. Schema Definition Language > 11.3 Concept Definitions > 11.3.5 `CollectionRules` > Ordering Semantics > `$Ordered`,4499,Validation and comparison of `$Ordered` collections MUST be order-sensitive.,MUST,partial,CollectionRules,3834-4105,partial,spec line 4499; schema group CollectionRules,P3,Requirement is partly outside declarative shape constraints and needs runtime semantics.,runtime
REQ-0063,Codex Language Specification — Version 1.0.0 > 11. Schema Definition Language > 11.3 Concept Definitions > 11.3.5 `CollectionRules` > Ordering Semantics > `$Unordered`,4505,Conforming implementations MUST preserve source order during parsing and general processing.,MUST,partial,CollectionRules,3834-4105,partial,spec line 4505; schema group CollectionRules,P3,Requirement is partly outside declarative shape constraints and needs runtime semantics.,runtime
REQ-0064,Codex Language Specification — Version 1.0.0 > 11. Schema Definition Language > 11.3 Concept Definitions > 11.3.5 `CollectionRules` > Ordering Semantics > `$Unordered`,4507,Validation of `$Unordered` collections MUST be order-insensitive.,MUST,partial,CollectionRules,3834-4105,partial,spec line 4507; schema group CollectionRules,P3,Requirement is partly outside declarative shape constraints and needs runtime semantics.,runtime
REQ-0065,Codex Language Specification — Version 1.0.0 > 11. Schema Definition Language > 11.3 Concept Definitions > 11.3.5 `CollectionRules` > Ordering Semantics > `$Unordered`,4509,Semantic comparison of `$Unordered` collections MUST be order-insensitive: two `$Unordered` collections with identical children in different orders MUST be treated as semantically equivalent.,MUST,yes,CollectionRules,3834-4105,covered,spec line 4509; schema group CollectionRules,P3,Constraint appears in corresponding schema group.,graph
REQ-0066,Codex Language Specification — Version 1.0.0 > 11. Schema Definition Language > 11.3 Concept Definitions > 11.3.5 `CollectionRules` > Ordering Semantics > `$Unordered`,4511,"In canonical surface form, children of an `$Unordered` collection MUST be sorted according to the deterministic ordering defined in §10.4.1.",MUST,yes,CollectionRules,3834-4105,covered,spec line 4511; schema group CollectionRules,P3,Constraint appears in corresponding schema group.,graph
REQ-0067,Codex Language Specification — Version 1.0.0 > 11. Schema Definition Language > 11.4. Trait Definitions > 11.4.1 `TraitDefinition` > Allowed Traits,4532,"When both `defaultValueType` and `defaultValueTypes` are provided, schema processing MUST fail with a `SchemaError` (§14).",MUST,yes,TraitDefinition,21253-21795,covered,spec line 4532; schema group TraitDefinition,P2,Mutual exclusion enforced by TraitDefinition xone subshapes.,graph
