req_id,spec_section,spec_lines,normative_text_summary,normative_keyword,representable_in_bootstrap_schema,schema_group,schema_lines,coverage_status,evidence,severity,notes,encodability_tier
REQ-0068,Codex Language Specification — Version 1.0.0 > 11. Schema Definition Language > 11.4. Trait Definitions > 11.4.1 `TraitDefinition` > Allowed Traits,4534,`priority` is a meta-schema concern. Implementations MUST NOT use `priority` to change validation or compilation semantics. Meta-schemas are allowed to constrain `priority` values.,MUST NOT,partial,Schema,18352-19489,partial,spec line 4534; schema group Schema,P3,Requirement is partly outside declarative shape constraints and needs runtime semantics.,runtime
REQ-0069,Codex Language Specification — Version 1.0.0 > 11. Schema Definition Language > 11.4. Trait Definitions > 11.4.1 `TraitDefinition` > Value Type Semantics,4537,"When a trait is present on a Concept instance, its value MUST conform to the declared value type.",MUST,yes,When,26492-26702,covered,spec line 4537; schema group When,P3,Constraint appears in corresponding schema group.,graph
REQ-0070,Codex Language Specification — Version 1.0.0 > 11. Schema Definition Language > 11.4. Trait Definitions > 11.4.1 `TraitDefinition` > Value Type Semantics,4539,"When `defaultValueTypes` specifies multiple types, the value MUST conform to exactly one of the listed types.",MUST,yes,When,26492-26702,covered,spec line 4539; schema group When,P3,Constraint appears in corresponding schema group.,graph
REQ-0071,Codex Language Specification — Version 1.0.0 > 11. Schema Definition Language > 11.4. Trait Definitions > 11.4.1 `TraitDefinition` > Collection Type Semantics,4542,"When a trait's value type is a parameterized collection type, each element of the collection MUST conform to the declared item type.",MUST,yes,When,26492-26702,covered,spec line 4542; schema group When,P3,Constraint appears in corresponding schema group.,graph
REQ-0072,Codex Language Specification — Version 1.0.0 > 11. Schema Definition Language > 11.4. Trait Definitions > 11.4.1 `TraitDefinition` > Collection Type Semantics,4546,"When a trait's value type is a union containing both scalar and collection types, the value MUST conform to exactly one member of the union.",MUST,yes,When,26492-26702,covered,spec line 4546; schema group When,P3,Constraint appears in corresponding schema group.,graph
REQ-0073,Codex Language Specification — Version 1.0.0 > 11. Schema Definition Language > 11.5 Value Types,4608,Value type checking MUST be deterministic and MUST NOT perform implicit evaluation.,MUST NOT,partial,Schema,18352-19489,partial,spec line 4608; schema group Schema,P3,Requirement is partly outside declarative shape constraints and needs runtime semantics.,runtime
REQ-0074,Codex Language Specification — Version 1.0.0 > 11. Schema Definition Language > 11.5 Value Types > 11.5.1 Built-In Value Type Tokens,4669,"When a schema constrains a Trait value using a built-in value type token, semantic validation MUST convert that value into the corresponding typed IR value and MUST reject values that are syntactically well-formed but semantically invalid for the expected type.",MUST,yes,When,26492-26702,covered,spec line 4669; schema group When,P3,Constraint appears in corresponding schema group.,graph
REQ-0075,Codex Language Specification — Version 1.0.0 > 11. Schema Definition Language > 11.5 Value Types > 11.5.2 `ValueTypeDefinition` > Allowed Traits,4689,`ValueTypeDefinition` names MUST be unique within the Schema.,MUST,yes,ValueTypeDefinition,25998-26288,covered,spec line 4689; schema group ValueTypeDefinition,P2,Uniqueness enforced via SPARQL constraint on ValueTypeDefinition name.,graph
REQ-0076,Codex Language Specification — Version 1.0.0 > 11. Schema Definition Language > 11.5 Value Types > 11.5.2 `ValueTypeDefinition` > Allowed Traits,4691,"When `validatorName` is present, schema-driven validation MUST apply the referenced validator as specified in §9.5.2 and §9.11.6.6.",MUST,partial,When,26492-26702,partial,spec line 4691; schema group When,P3,Requirement is partly outside declarative shape constraints and needs runtime semantics.,runtime
REQ-0077,Codex Language Specification — Version 1.0.0 > 11. Schema Definition Language > 11.5 Value Types > 11.5.2 `ValueTypeDefinition` > Allowed Traits,4693,"When `validatorName` cannot be resolved to exactly one `ValidatorDefinition`, schema processing MUST fail with a `SchemaError` (§14).",MUST,yes,ValidatorDefinition,24000-24303,covered,spec line 4693; schema group ValidatorDefinition,P3,Constraint appears in corresponding schema group.,graph
REQ-0078,Codex Language Specification — Version 1.0.0 > 11. Schema Definition Language > 11.5 Value Types > 11.5.2 `ValueTypeDefinition` > Allowed Traits,4695,A `ValueTypeDefinition` MUST NOT change the surface grammar of its `baseValueType`.,MUST NOT,partial,ValueTypeDefinition,25998-26288,partial,spec line 4695; schema group ValueTypeDefinition,P3,Requirement is partly outside declarative shape constraints and needs runtime semantics.,runtime
REQ-0079,Codex Language Specification — Version 1.0.0 > 11. Schema Definition Language > 11.5 Value Types > 11.5.3 Enumerated Value Sets > `Member` > Allowed Traits,4731,Each `value` MUST be unique within its `EnumeratedValueSet`.,MUST,yes,Member,10832-11121,covered,spec line 4731; schema group Member,P2,Uniqueness enforced via SPARQL constraint on Member value within EnumeratedValueSet scope.,graph
REQ-0080,Codex Language Specification — Version 1.0.0 > 11. Schema Definition Language > 11.5 Value Types > 11.5.4 Built-In Enumerated Value Sets,4736,The following enumerated value sets are defined by the Codex language itself and MUST be recognized by all conforming implementations.,MUST,partial,Schema,18352-19489,partial,spec line 4736; schema group Schema,P3,Requirement is partly outside declarative shape constraints and needs runtime semantics.,runtime
REQ-0081,Codex Language Specification — Version 1.0.0 > 11. Schema Definition Language > 11.5 Value Types > 11.5.4 Built-In Enumerated Value Sets > `Cardinality`,4766,These enumerated sets MUST NOT be redefined by schemas.,MUST NOT,yes,EnumeratedValueSet,8369-8689,covered,spec line 4766; schema group EnumeratedValueSet,P2,Built-in enumerated set names prohibited via SPARQL constraint on EnumeratedValueSet.,graph
REQ-0082,Codex Language Specification — Version 1.0.0 > 11. Schema Definition Language > 11.6 Constraint Model > 11.6.1 `ConstraintDefinitions` > Children,4777,The order of `ConstraintDefinition` children MUST be preserved but MUST NOT affect semantics.,MUST NOT,yes,ConstraintDefinition,5320-5629,covered,spec line 4777; schema group ConstraintDefinition,P3,Constraint appears in corresponding schema group.,graph
REQ-0083,Codex Language Specification — Version 1.0.0 > 11. Schema Definition Language > 11.6 Constraint Model > 11.6.2 `ConstraintDefinition` > Children,4798,"When either child is missing or appears more than once, schema processing MUST fail with a `SchemaError` (§14).",MUST,yes,ConstraintDefinition,5320-5629,covered,spec line 4798; schema group ConstraintDefinition,P2,"Targets and Rule both min=1,max=1.",graph
REQ-0084,Codex Language Specification — Version 1.0.0 > 11. Schema Definition Language > 11.6 Constraint Model > 11.6.3 `Targets` > Children,4810,"When `Targets` contains no children, schema processing MUST fail with a `SchemaError` (§14).",MUST,yes,Targets,20361-20672,covered,spec line 4810; schema group Targets,P2,Targets root has sh:or with subshapes requiring at least one target child.,graph
REQ-0085,Codex Language Specification — Version 1.0.0 > 11. Schema Definition Language > 11.6 Constraint Model > 11.6.3 `Targets` > 11.6.3.1 `TargetConcept` > Traits,4819,The selector MUST resolve to exactly one `ConceptDefinition`.,MUST,yes,ConceptDefinition,4106-4658,covered,spec line 4819; schema group ConceptDefinition,P3,Constraint appears in corresponding schema group.,graph
REQ-0086,Codex Language Specification — Version 1.0.0 > 11. Schema Definition Language > 11.6 Constraint Model > 11.6.3 `Targets` > 11.6.3.1 `TargetConcept` > Traits,4820,"Otherwise, schema processing MUST fail with a `SchemaError` (§14).",MUST,partial,Schema,18352-19489,partial,spec line 4820; schema group Schema,P3,Requirement is partly outside declarative shape constraints and needs runtime semantics.,runtime
REQ-0087,Codex Language Specification — Version 1.0.0 > 11. Schema Definition Language > 11.6 Constraint Model > 11.6.3 `Targets` > 11.6.3.2 `TargetContext` > Traits,4829,"When `contextSelector` is not `""Document""`, it MUST resolve to exactly one `ConceptDefinition`.",MUST,yes,ConceptDefinition,4106-4658,covered,spec line 4829; schema group ConceptDefinition,P3,Constraint appears in corresponding schema group.,graph
REQ-0088,Codex Language Specification — Version 1.0.0 > 11. Schema Definition Language > 11.6 Constraint Model > 11.6.3 `Targets` > 11.6.3.2 `TargetContext` > Traits,4830,"Otherwise, schema processing MUST fail with a `SchemaError` (§14).",MUST,partial,Schema,18352-19489,partial,spec line 4830; schema group Schema,P3,Requirement is partly outside declarative shape constraints and needs runtime semantics.,runtime
REQ-0089,Codex Language Specification — Version 1.0.0 > 11. Schema Definition Language > 11.6 Constraint Model > 11.6.4 `Rule` > Children,4837,"Exactly one child, which MUST be one of:",MUST,yes,Rule,16125-18351,covered,spec line 4837; schema group Rule,P2,Rule root uses sh:xone across all allowable child rule forms.,graph
REQ-0090,Codex Language Specification — Version 1.0.0 > 11. Schema Definition Language > 11.6 Constraint Model > 11.6.4 `Rule` > Children,4843,"When `Rule` contains zero or more than one child, schema processing MUST fail with a `SchemaError` (§14).",MUST,partial,Rule,16125-18351,partial,spec line 4843; schema group Rule,P3,Requirement is partly outside declarative shape constraints and needs runtime semantics.,runtime
REQ-0091,Codex Language Specification — Version 1.0.0 > 11. Schema Definition Language > 11.6 Constraint Model > 11.6.4 `Rule` > Children,4845,`Rule` nodes are purely structural and MUST NOT carry Traits.,MUST NOT,yes,Rule,16125-18351,covered,spec line 4845; schema group Rule,P2,Rule shape is closed and has no trait property constraints.,graph
REQ-0092,Codex Language Specification — Version 1.0.0 > 11. Schema Definition Language > 11.7 Rule Algebra,4851,"Rule algebra MUST be translatable to a total, deterministic validation form.",MUST,partial,Rule,16125-18351,partial,spec line 4851; schema group Rule,P3,Requirement is partly outside declarative shape constraints and needs runtime semantics.,runtime
REQ-0093,Codex Language Specification — Version 1.0.0 > 11. Schema Definition Language > 11.7 Rule Algebra > 11.7.1 General Rules,4857,* Rule algebra nodes MUST NOT carry Traits.,MUST NOT,yes,Rule,16125-18351,covered,spec line 4857; schema group Rule,P3,Constraint appears in corresponding schema group.,graph
REQ-0094,Codex Language Specification — Version 1.0.0 > 11. Schema Definition Language > 11.7 Rule Algebra > 11.7.1 General Rules,4858,"* `AllOf`, `AnyOf`, and `Not` MUST contain only `Rule` nodes as children.",MUST,yes,AllOf,11-213,covered,spec line 4858; schema group AllOf,P2,AllOf/AnyOf child paths constrained to class Rule with min=2.,graph
REQ-0095,Codex Language Specification — Version 1.0.0 > 11. Schema Definition Language > 11.7 Rule Algebra > 11.7.1 General Rules,4859,* Any rule tree MUST be finite and acyclic.,MUST,partial,Rule,16125-18351,partial,spec line 4859; schema group Rule,P3,Requirement is partly outside declarative shape constraints and needs runtime semantics.,runtime
REQ-0096,Codex Language Specification — Version 1.0.0 > 11. Schema Definition Language > 11.7 Rule Algebra > 11.7.1 General Rules,4861,"When a rule algebra structure cannot be translated deterministically, schema processing MUST fail with a `SchemaError` (§14).",MUST,partial,When,26492-26702,partial,spec line 4861; schema group When,P3,Requirement is partly outside declarative shape constraints and needs runtime semantics.,runtime
REQ-0097,Codex Language Specification — Version 1.0.0 > 11. Schema Definition Language > 11.7 Rule Algebra > 11.7.6 Determinism Requirement,4917,Rule algebra evaluation MUST be:,MUST,partial,Rule,16125-18351,partial,spec line 4917; schema group Rule,P3,Requirement is partly outside declarative shape constraints and needs runtime semantics.,runtime
REQ-0098,Codex Language Specification — Version 1.0.0 > 11. Schema Definition Language > 11.7 Rule Algebra > 11.7.6 Determinism Requirement,4922,"When rule algebra composition cannot be evaluated deterministically, schema processing MUST fail with a `SchemaError` (§14).",MUST,partial,When,26492-26702,partial,spec line 4922; schema group When,P3,Requirement is partly outside declarative shape constraints and needs runtime semantics.,runtime
REQ-0099,Codex Language Specification — Version 1.0.0 > 11. Schema Definition Language > 11.8 Paths and Quantifiers,4928,All path and quantifier semantics MUST be compatible with the instance-graph mapping defined in §9.7 and the rule-to-SPARQL translation defined in §9.11.,MUST,partial,Schema,18352-19489,partial,spec line 4928; schema group Schema,P3,Requirement is partly outside declarative shape constraints and needs runtime semantics.,runtime
REQ-0100,Codex Language Specification — Version 1.0.0 > 11. Schema Definition Language > 11.8 Paths and Quantifiers > 11.8.1 Paths,4934,Each path node MUST declare exactly the traits required for its form.,MUST,yes,Schema,18352-19489,covered,spec line 4934; schema group Schema,P3,Constraint appears in corresponding schema group.,graph
REQ-0101,Codex Language Specification — Version 1.0.0 > 11. Schema Definition Language > 11.8 Paths and Quantifiers > 11.8.2 Quantifiers,4983,Quantifiers MUST appear only in rule nodes that explicitly bind a Path to a nested Rule (see §9.5.3).,MUST,partial,Rule,16125-18351,partial,spec line 4983; schema group Rule,P3,Requirement is partly outside declarative shape constraints and needs runtime semantics.,runtime
REQ-0102,Codex Language Specification — Version 1.0.0 > 11. Schema Definition Language > 11.8 Paths and Quantifiers > 11.8.2 Quantifiers > `Count` > Allowed Traits,5009,At least one of `minCount` or `maxCount` MUST be present.,MUST,yes,Count,7277-7608,covered,spec line 5009; schema group Count,P2,Count root has sh:or requiring minCount or maxCount.,graph
REQ-0103,Codex Language Specification — Version 1.0.0 > 11. Schema Definition Language > 11.8 Paths and Quantifiers > 11.8.3 Determinism and Totality,5019,* Paths MUST select a well-defined set of elements.,MUST,partial,Schema,18352-19489,partial,spec line 5019; schema group Schema,P3,Requirement is partly outside declarative shape constraints and needs runtime semantics.,runtime
REQ-0104,Codex Language Specification — Version 1.0.0 > 11. Schema Definition Language > 11.8 Paths and Quantifiers > 11.8.3 Determinism and Totality,5020,* Quantifiers MUST evaluate to a single boolean outcome.,MUST,partial,Schema,18352-19489,partial,spec line 5020; schema group Schema,P3,Requirement is partly outside declarative shape constraints and needs runtime semantics.,runtime
REQ-0105,Codex Language Specification — Version 1.0.0 > 11. Schema Definition Language > 11.8 Paths and Quantifiers > 11.8.3 Determinism and Totality,5021,"* When a path selector cannot be resolved uniquely, schema processing MUST fail with a `SchemaError` (§14).",MUST,partial,When,26492-26702,partial,spec line 5021; schema group When,P3,Requirement is partly outside declarative shape constraints and needs runtime semantics.,runtime
REQ-0106,Codex Language Specification — Version 1.0.0 > 11. Schema Definition Language > 11.8 Paths and Quantifiers > 11.8.3 Determinism and Totality,5022,"* When a quantifier cannot be evaluated without guessing, schema processing MUST fail with a `SchemaError` (§14).",MUST,partial,When,26492-26702,partial,spec line 5022; schema group When,P3,Requirement is partly outside declarative shape constraints and needs runtime semantics.,runtime
REQ-0107,Codex Language Specification — Version 1.0.0 > 11. Schema Definition Language > 11.8 Paths and Quantifiers > 11.8.3 Determinism and Totality,5024,Paths and quantifiers MUST NOT be evaluated outside the schema-driven validation pipeline defined in §9.,MUST NOT,partial,Schema,18352-19489,partial,spec line 5024; schema group Schema,P3,Requirement is partly outside declarative shape constraints and needs runtime semantics.,runtime
REQ-0108,Codex Language Specification — Version 1.0.0 > 11. Schema Definition Language > 11.9 Atomic Constraints,5030,"When an atomic constraint cannot be expressed under the instance-graph mapping (§9.7) and the constraint-to-artifact rules (§9.9–§9.11), schema processing MUST fail with a `SchemaError` (§14).",MUST,partial,When,26492-26702,partial,spec line 5030; schema group When,P3,Requirement is partly outside declarative shape constraints and needs runtime semantics.,runtime
REQ-0109,Codex Language Specification — Version 1.0.0 > 11. Schema Definition Language > 11.9 Atomic Constraints > 11.9.1 Trait Constraints > `TraitExists`,5038,The named Trait MUST be present.,MUST,yes,Schema,18352-19489,covered,spec line 5038; schema group Schema,P3,Constraint appears in corresponding schema group.,graph
REQ-0110,Codex Language Specification — Version 1.0.0 > 11. Schema Definition Language > 11.9 Atomic Constraints > 11.9.1 Trait Constraints > `TraitMissing`,5047,The named Trait MUST be absent.,MUST,yes,Schema,18352-19489,covered,spec line 5047; schema group Schema,P3,Constraint appears in corresponding schema group.,graph
REQ-0111,Codex Language Specification — Version 1.0.0 > 11. Schema Definition Language > 11.9 Atomic Constraints > 11.9.1 Trait Constraints > `TraitEquals`,5056,The named Trait MUST have at least one value equal to the specified value.,MUST,yes,Schema,18352-19489,covered,spec line 5056; schema group Schema,P3,Constraint appears in corresponding schema group.,graph
REQ-0112,Codex Language Specification — Version 1.0.0 > 11. Schema Definition Language > 11.9 Atomic Constraints > 11.9.1 Trait Constraints > `TraitCardinality` > Allowed Traits,5073,At least one of `min` or `max` MUST be present.,MUST,yes,TraitCardinality,20883-21252,covered,spec line 5073; schema group TraitCardinality,P2,TraitCardinality root has sh:or requiring min or max.,graph
REQ-0113,Codex Language Specification — Version 1.0.0 > 11. Schema Definition Language > 11.9 Atomic Constraints > 11.9.1 Value Constraints > `ValueIsOneOf`,5111,The value MUST be one of the explicitly listed values.,MUST,yes,Schema,18352-19489,covered,spec line 5111; schema group Schema,P3,Constraint appears in corresponding schema group.,graph
REQ-0114,Codex Language Specification — Version 1.0.0 > 11. Schema Definition Language > 11.9 Atomic Constraints > 11.9.1 Value Constraints > `ValueMatchesPattern`,5120,The value MUST match a regular expression.,MUST,partial,Schema,18352-19489,partial,spec line 5120; schema group Schema,P3,Requirement is partly outside declarative shape constraints and needs runtime semantics.,graph
REQ-0115,Codex Language Specification — Version 1.0.0 > 11. Schema Definition Language > 11.9 Atomic Constraints > 11.9.1 Value Constraints > `ValueLength` > Allowed Traits,5147,At least one of `min` or `max` MUST be present.,MUST,yes,ValueLength,25425-25756,covered,spec line 5147; schema group ValueLength,P2,ValueLength root has sh:or requiring min or max.,graph
REQ-0116,Codex Language Specification — Version 1.0.0 > 11. Schema Definition Language > 11.9 Atomic Constraints > 11.9.1 Value Constraints > `ValueInNumericRange` > Allowed Traits,5157,At least one of `min` or `max` MUST be present.,MUST,yes,ValueInNumericRange,24507-24838,covered,spec line 5157; schema group ValueInNumericRange,P2,ValueInNumericRange root has sh:or requiring min or max.,graph
REQ-0117,Codex Language Specification — Version 1.0.0 > 11. Schema Definition Language > 11.9 Atomic Constraints > 11.9.1 Value Constraints > `ValueInNumericRange` > Allowed Traits,5159,This constraint MUST apply only to numeric value types that support ordered comparison.,MUST,partial,Schema,18352-19489,partial,spec line 5159; schema group Schema,P3,Requirement is partly outside declarative shape constraints and needs runtime semantics.,runtime
REQ-0118,Codex Language Specification — Version 1.0.0 > 11. Schema Definition Language > 11.9 Atomic Constraints > 11.9.1 Value Constraints > `ValueInNumericRange` > Allowed Traits,5160,"When comparison semantics are not explicitly defined for the active value type, schema processing MUST fail with a `SchemaError` (§14).",MUST,partial,When,26492-26702,partial,spec line 5160; schema group When,P3,Requirement is partly outside declarative shape constraints and needs runtime semantics.,runtime
REQ-0119,Codex Language Specification — Version 1.0.0 > 11. Schema Definition Language > 11.9 Atomic Constraints > 11.9.1 Value Constraints > `ValueIsNonEmpty`,5166,The value MUST be present and non-empty.,MUST,partial,Schema,18352-19489,partial,spec line 5166; schema group Schema,P3,Requirement is partly outside declarative shape constraints and needs runtime semantics.,runtime
REQ-0120,Codex Language Specification — Version 1.0.0 > 11. Schema Definition Language > 11.9 Atomic Constraints > 11.9.1 Value Constraints > `ValueIsNonEmpty`,5169,"If applied to an incompatible value type, schema processing MUST fail with a `SchemaError` (§14).",MUST,partial,Schema,18352-19489,partial,spec line 5169; schema group Schema,P3,Requirement is partly outside declarative shape constraints and needs runtime semantics.,runtime
REQ-0121,Codex Language Specification — Version 1.0.0 > 11. Schema Definition Language > 11.9 Atomic Constraints > 11.9.1 Value Constraints > `ValueIsValid`,5175,The value MUST satisfy a named validator.,MUST,partial,Schema,18352-19489,partial,spec line 5175; schema group Schema,P3,Requirement is partly outside declarative shape constraints and needs runtime semantics.,runtime
REQ-0122,Codex Language Specification — Version 1.0.0 > 11. Schema Definition Language > 11.9 Atomic Constraints > 11.9.1 Value Constraints > `ValueIsValid` > Traits,5180,The validator MUST resolve to exactly one `ValidatorDefinition` in the governing schema.,MUST,yes,ValidatorDefinition,24000-24303,covered,spec line 5180; schema group ValidatorDefinition,P3,Constraint appears in corresponding schema group.,graph
REQ-0123,Codex Language Specification — Version 1.0.0 > 11. Schema Definition Language > 11.9 Atomic Constraints > 11.9.1 Value Constraints > `ValueIsValid` > Traits,5181,"If resolution fails, schema processing MUST fail with a `SchemaError` (§14).",MUST,partial,Schema,18352-19489,partial,spec line 5181; schema group Schema,P3,Requirement is partly outside declarative shape constraints and needs runtime semantics.,runtime
REQ-0124,Codex Language Specification — Version 1.0.0 > 11. Schema Definition Language > 11.9 Atomic Constraints > 11.9.2 Child Constraints > `ChildConstraint` > Traits,5193,Its semantics MUST be equivalent to the corresponding explicit child-rule form defined in §11.3.4.,MUST,partial,ChildConstraint,1479-1762,partial,spec line 5193; schema group ChildConstraint,P3,Requirement is partly outside declarative shape constraints and needs runtime semantics.,runtime
REQ-0125,Codex Language Specification — Version 1.0.0 > 11. Schema Definition Language > 11.9 Atomic Constraints > 11.9.2 Child Constraints > `ChildSatisfies` > Children,5205,The rule MUST be evaluated for each matching child Concept instance.,MUST,partial,ChildSatisfies,2419-2666,partial,spec line 5205; schema group ChildSatisfies,P3,Requirement is partly outside declarative shape constraints and needs runtime semantics.,runtime
REQ-0126,Codex Language Specification — Version 1.0.0 > 11. Schema Definition Language > 11.9 Atomic Constraints > 11.9.3 Collection Constraints > `CollectionAllowsDuplicates` > Allowed Traits,5239,"When `allowed` is `false`, `keyTrait` MUST be present.",MUST,yes,CollectionAllowsDuplicates,2667-3129,covered,spec line 5239; schema group CollectionAllowsDuplicates,P2,Root sh:or ensures keyTrait is required when allowed=true is not satisfied.,graph
REQ-0127,Codex Language Specification — Version 1.0.0 > 11. Schema Definition Language > 11.9 Atomic Constraints > 11.9.3 Collection Constraints > `MemberCount` > Allowed Traits,5252,At least one of `min` or `max` MUST be present.,MUST,yes,MemberCount,11122-11583,covered,spec line 5252; schema group MemberCount,P2,MemberCount root has sh:or requiring min or max.,graph
REQ-0128,Codex Language Specification — Version 1.0.0 > 11. Schema Definition Language > 11.9 Atomic Constraints > 11.9.3 Collection Constraints > `EachMemberSatisfies`,5261,Each collection member MUST satisfy a nested rule.,MUST,partial,EachMemberSatisfies,7819-8158,partial,spec line 5261; schema group EachMemberSatisfies,P3,Requirement is partly outside declarative shape constraints and needs runtime semantics.,runtime
REQ-0129,Codex Language Specification — Version 1.0.0 > 11. Schema Definition Language > 11.9 Atomic Constraints > 11.9.3 Collection Constraints > `EachMemberSatisfies` > Children,5267,The rule MUST be evaluated for each matching collection member.,MUST,partial,EachMemberSatisfies,7819-8158,partial,spec line 5267; schema group EachMemberSatisfies,P3,Requirement is partly outside declarative shape constraints and needs runtime semantics.,runtime
REQ-0130,Codex Language Specification — Version 1.0.0 > 11. Schema Definition Language > 11.9 Atomic Constraints > 11.9.4 Uniqueness Constraints > `UniqueConstraint` > Traits,5279,Uniqueness semantics MUST follow the deterministic scope rules defined in §9.9.7.,MUST,partial,Schema,18352-19489,partial,spec line 5279; schema group Schema,P3,Requirement is partly outside declarative shape constraints and needs runtime semantics.,runtime
REQ-0131,Codex Language Specification — Version 1.0.0 > 11. Schema Definition Language > 11.9 Atomic Constraints > 11.9.5 Order Constraints > `OrderConstraint` > Types,5292,* `Ascending`: Elements MUST be in ascending order by the specified trait value.,MUST,yes,OrderConstraint,13341-13742,covered,spec line 5292; schema group OrderConstraint,P3,Constraint appears in corresponding schema group.,graph
REQ-0132,Codex Language Specification — Version 1.0.0 > 11. Schema Definition Language > 11.9 Atomic Constraints > 11.9.5 Order Constraints > `OrderConstraint` > Types,5293,* `Descending`: Elements MUST be in descending order by the specified trait value.,MUST,yes,OrderConstraint,13341-13742,covered,spec line 5293; schema group OrderConstraint,P3,Constraint appears in corresponding schema group.,graph
REQ-0133,Codex Language Specification — Version 1.0.0 > 11. Schema Definition Language > 11.9 Atomic Constraints > 11.9.5 Order Constraints > `OrderConstraint` > Children,5298,"Order constraint semantics apply to `$Ordered` collections only. When an `OrderConstraint` is applied to an `$Unordered` collection, schema processing MUST fail with a `SchemaError` (§14).",MUST,partial,OrderConstraint,13341-13742,partial,spec line 5298; schema group OrderConstraint,P2,"Type/path shape is covered; ""$Ordered only"" applicability is semantic and not fully encoded in shape graph alone.",runtime
REQ-0134,Codex Language Specification — Version 1.0.0 > 11. Schema Definition Language > 11.9 Atomic Constraints > 11.9.6 Reference Constraints > `ReferenceConstraint` > Types,5310,* `ReferenceTargetsEntity`: Target MUST be an Entity. The `conceptSelector` and `traitName` traits MUST NOT be present.,MUST NOT,yes,ReferenceConstraint,14851-15598,covered,spec line 5310; schema group ReferenceConstraint,P2,Type-specific trait presence/absence encoded via xone subshapes.,graph
REQ-0135,Codex Language Specification — Version 1.0.0 > 11. Schema Definition Language > 11.9 Atomic Constraints > 11.9.6 Reference Constraints > `ReferenceConstraint` > Types,5311,* `ReferenceMustResolve`: Reference MUST resolve. The `conceptSelector` and `traitName` traits MUST NOT be present.,MUST NOT,yes,ReferenceConstraint,14851-15598,covered,spec line 5311; schema group ReferenceConstraint,P2,Type-specific trait presence/absence encoded via xone subshapes.,graph
REQ-0136,Codex Language Specification — Version 1.0.0 > 11. Schema Definition Language > 11.9 Atomic Constraints > 11.9.6 Reference Constraints > `ReferenceConstraint` > Types,5312,* `ReferenceSingleton`: At most one reference Trait MUST be present. The `conceptSelector` and `traitName` traits MUST NOT be present.,MUST NOT,yes,ReferenceConstraint,14851-15598,covered,spec line 5312; schema group ReferenceConstraint,P2,Type-specific trait presence/absence encoded via xone subshapes.,graph
REQ-0137,Codex Language Specification — Version 1.0.0 > 11. Schema Definition Language > 11.9 Atomic Constraints > 11.9.6 Reference Constraints > `ReferenceConstraint` > Types,5313,* `ReferenceTargetsConcept`: Target MUST be a specific Concept type. The `conceptSelector` trait MUST be present.,MUST,yes,ReferenceConstraint,14851-15598,covered,spec line 5313; schema group ReferenceConstraint,P2,Type-specific trait presence/absence encoded via xone subshapes.,graph
REQ-0138,Codex Language Specification — Version 1.0.0 > 11. Schema Definition Language > 11.9 Atomic Constraints > 11.9.6 Reference Constraints > `ReferenceConstraint` > Types,5314,* `ReferenceTraitAllowed`: A specific reference Trait is allowed. The `traitName` trait MUST be present.,MUST,yes,ReferenceConstraint,14851-15598,covered,spec line 5314; schema group ReferenceConstraint,P2,Type-specific trait presence/absence encoded via xone subshapes.,graph
REQ-0139,Codex Language Specification — Version 1.0.0 > 11. Schema Definition Language > 11.9 Atomic Constraints > 11.9.6 Reference Constraints > `ReferenceConstraint` > Types,5316,Reference constraint semantics MUST follow §9.9.9–§9.9.12 exactly.,MUST,partial,ReferenceConstraint,14851-15598,partial,spec line 5316; schema group ReferenceConstraint,P3,Requirement is partly outside declarative shape constraints and needs runtime semantics.,runtime
REQ-0140,Codex Language Specification — Version 1.0.0 > 11. Schema Definition Language > 11.9 Atomic Constraints > 11.9.7 Identity Constraints > `IdentityConstraint` > Types,5328,"* `MustBeEntity`: Instance MUST be an Entity. The `scope`, `pattern`, and `flags` traits MUST NOT be present.",MUST NOT,yes,IdentityConstraint,10032-10831,covered,spec line 5328; schema group IdentityConstraint,P2,Type-specific trait requirements encoded via xone subshapes.,graph
REQ-0141,Codex Language Specification — Version 1.0.0 > 11. Schema Definition Language > 11.9 Atomic Constraints > 11.9.7 Identity Constraints > `IdentityConstraint` > Types,5329,"* `MustNotBeEntity`: Instance MUST NOT be an Entity. The `scope`, `pattern`, and `flags` traits MUST NOT be present.",MUST NOT,yes,IdentityConstraint,10032-10831,covered,spec line 5329; schema group IdentityConstraint,P2,Type-specific trait requirements encoded via xone subshapes.,graph
