group	start_line	end_line	shape	target_classes	closed	ignored_properties	property_shape_count	sparql_constraint_count
Not	11584	11793	urn:codex:bootstrap:1.0.0#Not#shape	urn:codex:bootstrap:1.0.0#Not	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	3	0
OnPathCount	11794	12411	urn:codex:bootstrap:1.0.0#OnPathCount#shape	urn:codex:bootstrap:1.0.0#OnPathCount	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	9	0
OnPathExists	12412	12875	urn:codex:bootstrap:1.0.0#OnPathExists#shape	urn:codex:bootstrap:1.0.0#OnPathExists	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	7	0
OnPathForAll	12876	13340	urn:codex:bootstrap:1.0.0#OnPathForAll#shape	urn:codex:bootstrap:1.0.0#OnPathForAll	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	7	0
OrderConstraint	13341	13742	urn:codex:bootstrap:1.0.0#OrderConstraint#shape	urn:codex:bootstrap:1.0.0#OrderConstraint	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	6	0
PatternConstraint	13743	14021	urn:codex:bootstrap:1.0.0#PatternConstraint#shape	urn:codex:bootstrap:1.0.0#PatternConstraint	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	5	0
RdfGraph	14022	14224	urn:codex:bootstrap:1.0.0#RdfGraph#shape	urn:codex:bootstrap:1.0.0#RdfGraph	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	3	0
RdfTriple	14225	14850	urn:codex:bootstrap:1.0.0#RdfTriple#shape	urn:codex:bootstrap:1.0.0#RdfTriple	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	8	0
ReferenceConstraint	14851	15598	urn:codex:bootstrap:1.0.0#ReferenceConstraint#shape	urn:codex:bootstrap:1.0.0#ReferenceConstraint	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	5	0
RequiresChildConcept	15599	15890	urn:codex:bootstrap:1.0.0#RequiresChildConcept#shape	urn:codex:bootstrap:1.0.0#RequiresChildConcept	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	5	0
RequiresTrait	15891	16124	urn:codex:bootstrap:1.0.0#RequiresTrait#shape	urn:codex:bootstrap:1.0.0#RequiresTrait	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	4	0
Rule	16125	18351	urn:codex:bootstrap:1.0.0#Rule#shape	urn:codex:bootstrap:1.0.0#Rule	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	35	0
Schema	18352	19489	urn:codex:bootstrap:1.0.0#Schema#shape	urn:codex:bootstrap:1.0.0#Schema	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	18	0
SchemaImport	19490	19737	urn:codex:bootstrap:1.0.0#SchemaImport#shape	urn:codex:bootstrap:1.0.0#SchemaImport	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	4	0
SchemaImports	19738	19940	urn:codex:bootstrap:1.0.0#SchemaImports#shape	urn:codex:bootstrap:1.0.0#SchemaImports	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	3	0
TargetConcept	19941	20150	urn:codex:bootstrap:1.0.0#TargetConcept#shape	urn:codex:bootstrap:1.0.0#TargetConcept	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	3	0
TargetContext	20151	20360	urn:codex:bootstrap:1.0.0#TargetContext#shape	urn:codex:bootstrap:1.0.0#TargetContext	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	3	0
Targets	20361	20672	urn:codex:bootstrap:1.0.0#Targets#shape	urn:codex:bootstrap:1.0.0#Targets	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	4	0
Then	20673	20882	urn:codex:bootstrap:1.0.0#Then#shape	urn:codex:bootstrap:1.0.0#Then	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	3	0
TraitCardinality	20883	21252	urn:codex:bootstrap:1.0.0#TraitCardinality#shape	urn:codex:bootstrap:1.0.0#TraitCardinality	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	5	0
TraitDefinition	21253	21795	urn:codex:bootstrap:1.0.0#TraitDefinition#shape	urn:codex:bootstrap:1.0.0#TraitDefinition	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	9	1
TraitDefinitions	21796	21998	urn:codex:bootstrap:1.0.0#TraitDefinitions#shape	urn:codex:bootstrap:1.0.0#TraitDefinitions	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	3	0
TraitEquals	21999	22246	urn:codex:bootstrap:1.0.0#TraitEquals#shape	urn:codex:bootstrap:1.0.0#TraitEquals	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	4	0
TraitExists	22247	22456	urn:codex:bootstrap:1.0.0#TraitExists#shape	urn:codex:bootstrap:1.0.0#TraitExists	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	3	0
TraitLessOrEqual	22457	22704	urn:codex:bootstrap:1.0.0#TraitLessOrEqual#shape	urn:codex:bootstrap:1.0.0#TraitLessOrEqual	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	4	0
TraitMissing	22705	22914	urn:codex:bootstrap:1.0.0#TraitMissing#shape	urn:codex:bootstrap:1.0.0#TraitMissing	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	3	0
TraitPath	22915	23124	urn:codex:bootstrap:1.0.0#TraitPath#shape	urn:codex:bootstrap:1.0.0#TraitPath	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	3	0
TraitRules	23125	23503	urn:codex:bootstrap:1.0.0#TraitRules#shape	urn:codex:bootstrap:1.0.0#TraitRules	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	5	0
TraitValueType	23504	23751	urn:codex:bootstrap:1.0.0#TraitValueType#shape	urn:codex:bootstrap:1.0.0#TraitValueType	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	4	0
UniqueConstraint	23752	23999	urn:codex:bootstrap:1.0.0#UniqueConstraint#shape	urn:codex:bootstrap:1.0.0#UniqueConstraint	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	4	0
ValidatorDefinition	24000	24303	urn:codex:bootstrap:1.0.0#ValidatorDefinition#shape	urn:codex:bootstrap:1.0.0#ValidatorDefinition	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	5	1
ValidatorDefinitions	24304	24506	urn:codex:bootstrap:1.0.0#ValidatorDefinitions#shape	urn:codex:bootstrap:1.0.0#ValidatorDefinitions	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	3	0
ValueInNumericRange	24507	24838	urn:codex:bootstrap:1.0.0#ValueInNumericRange#shape	urn:codex:bootstrap:1.0.0#ValueInNumericRange	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	4	0
ValueIsNonEmpty	24839	25010	urn:codex:bootstrap:1.0.0#ValueIsNonEmpty#shape	urn:codex:bootstrap:1.0.0#ValueIsNonEmpty	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	2	0
ValueIsOneOf	25011	25220	urn:codex:bootstrap:1.0.0#ValueIsOneOf#shape	urn:codex:bootstrap:1.0.0#ValueIsOneOf	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	3	0
ValueIsValid	25221	25424	urn:codex:bootstrap:1.0.0#ValueIsValid#shape	urn:codex:bootstrap:1.0.0#ValueIsValid	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	3	0
ValueLength	25425	25756	urn:codex:bootstrap:1.0.0#ValueLength#shape	urn:codex:bootstrap:1.0.0#ValueLength	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	4	0
ValueMatchesPattern	25757	25997	urn:codex:bootstrap:1.0.0#ValueMatchesPattern#shape	urn:codex:bootstrap:1.0.0#ValueMatchesPattern	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	4	0
ValueTypeDefinition	25998	26288	urn:codex:bootstrap:1.0.0#ValueTypeDefinition#shape	urn:codex:bootstrap:1.0.0#ValueTypeDefinition	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	5	1
ValueTypeDefinitions	26289	26491	urn:codex:bootstrap:1.0.0#ValueTypeDefinitions#shape	urn:codex:bootstrap:1.0.0#ValueTypeDefinitions	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	3	0
When	26492	26702	urn:codex:bootstrap:1.0.0#When#shape	urn:codex:bootstrap:1.0.0#When	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	3	0
